hero,connection
3-D MAN/CHARLES CHAN,"BLACK WIDOW/NATASHA ,VENUS II,IGOR,PHARAOH RAMA-TUT,SHADOWCAT/KATHERINE ,WHIZZER/ROBERT L. FR,IKARIS/IKE HARRIS [E,CRYSTAL [INHUMAN],CYCLOPS/SCOTT SUMMER,AURORA/JEANNE-MARIE ,THING/BENJAMIN J. GR,JONES, RICHARD MILHO,SCARLET WITCH/WANDA ,QUICKSILVER/PIETRO M,TORPEDO III/BROCK JO,SHROUD/MAXIMILLIAN Q,KARNAK [INHUMAN],GORILLA-MAN,URSA MAJOR/MIKHAIL U,CAPTAIN AMERICA,ANT-MAN II/SCOTT HAR,BLACK PANTHER/T'CHAL,MIKHLO,DEFENSOR,DR. DRUID/ANTHONY LU,DARKSTAR/LAYNIA SERG,COLLECTIVE MAN,SLOAN, FRED,SASQUATCH/WALTER LAN,INVISIBLE WOMAN/SUE ,DR. STRANGE/STEPHEN ,JACK OF HEARTS/JACK ,ANGEL/WARREN KENNETH,MOCKINGBIRD/DR. BARB,NORRISS, SISTER BARB,CAGE, LUKE/CARL LUCA,MARVEL BOY III/ROBER,SABRA/RUTH BAT-SERAP,HUMAN ROBOT,LOBO,PROFESSOR X/CHARLES ,LOCKJAW [INHUMAN],HAWK,SHE-HULK/JENNIFER WA"
4-D MAN/MERCURIO,"HEIMDALL [ASGARDIAN],SIF,EON,HOGUN [ASGARDIAN],LOKI [ASGARDIAN],ODIN [ASGARDIAN],HILDEGARDE [ASGARDIA,IRON MAN/TONY STARK ,TYRUS,DRAGONFLY/VERONICA D,MOONDRAGON/HEATHER D,DEMONSTAFF,CAPTAIN MARVEL/CAPTA,GREY GARGOYLE/PAUL P,STRANGER,FURY, COL. NICHOLAS ,CAPTAIN AMERICA,FERRARI, CONNIE,THOR IV/DARGO,JAMESON, J. JONAH,GRANT, SILAS,THOR/DR. DONALD BLAK,TANA NILE,BALDER [ASGARDIAN],VOLSTAGG,ZARRKO, ARTHUR,KARNILLA [ASGARDIAN],OVERMIND/GROM,FANDRAL [ASGARDIAN],BALLANTINE, KAYLA"
A,"MR. X,BLOK,SABRETOOTH/VICTOR CR,T,NIGHTCRAWLER/KURT WA,ROGUE /"
ABEL,"THUNDERBIRD II/JAMES,BAKER,BOOMER/TABITHA SMITH,CANNONBALL II/SAM GU,TSUNG, MARCUS,BEDLAM/JESSE AARONSO,DOMINO III/BEATRICE/,WISDOM, ROMANY,CHARLIE,WISDOM, PETER,TRAVELER"
ABOMINATRIX,"MASON, WANDA,INVISIBLE WOMAN/SUE ,MASON, LOUISE,MR. FANTASTIC/REED R,CAPTAIN RECTITUDE,SHE-HULK/JENNIFER WA"
ACHILLES II/HELMUT,"STRIKER, SAM,ATALANTA,ARABIAN KNIGHT/ABDUL,JONES, RICHARD MILHO,THOR II/ROGER RED NO,CINDER/,AGAMEMNON III/,AJAX,PUNISHER II/FRANK CA,FROST,HOARFEN,IRON FIST/DANIEL RAN,JASON,BERENGHETTI, SUSAN,DELPHI,HULK/DR. ROBERT BRUC,THUNDERBOLT II/LUIS,DOC SAMSON/DR. LEONA,ULYSSES II,ANDREWS, DARYL TROOP,PARIS,JONES, MARLO CHANDLE,DRACCHISS,BERENGHETTI, MICHAEL,SHORR, JACQUELINE,CAGE, LUKE/CARL LUCA,MEDINA, ANALISA MARI,CASSIOPEIA,HECTOR II,HELA [ASGARDIAN],PROMETHEUS II,BANNER, BETTY ROSS T,FANDRAL [ASGARDIAN]"
"ADAMS, GEORGE","ROM, SPACEKNIGHT,ADAMS, MARTHA"
ADMIRAL PROTOCOL/,"WRONG,JUSTICE II/VANCE AST,DRY,TRUTH II,TURBO II (A)/MICHIKO,FIRESTAR/ANGELICA JO,TIMESLIP/RINA PATEL,GEE/ALEX POWER,LIGHTSPEED/JULIE POW,SPIDER-MAN CLONE/BEN,HINDSIGHT LAD/CARLTO,GENERAL ADMISSION,CUT,CARDINAL/CLEMDENON,NAMORITA/NITA PRENTI,NOVA/RICHARD RIDER,BALDWIN, MADELYNE MA,FLORES, SHANICE,RIGHT,SPEEDBALL II/DARRION,SABRA/RUTH BAT-SERAP,POWER, MARGARET,ROSEN, WALTER,RAGE/ELVIN DARYL HAL,GENERAL OBSIDIAN,HELIX/RAFAEL CARAGO,SPROCKET"
ADORA CLONE,"SPEEDBALL II/DARRION,JUSTICE II/VANCE AST,TURBO II (A)/MICHIKO,THERA,PLANNER,FIRESTAR/ANGELICA JO,MURDER,MAXOV,RIDER, ROBERT ROBBIE,NAMORITA/NITA PRENTI,NOVA/RICHARD RIDER,WARHEAD/GREGORY SLIV,DARKHAWK/CHRIS POWEL"
AGAMEMNON,"HERA/AUGUSTINE JONES,PROMETHEUS [OLYMPIAN,ACHILLES,ULYSSES,HECTOR"
"AGEE, DR. AUBREY","STORM/ORORO MUNROE S,DEATHBIRD [SHI'AR],MANBOT/BERNIE LACHEN,GYRICH, HENRY PETER,MAGGOTT/JAPHETH,RADIUS/JARED CORBO,BISHOP /,CYCLOPS/SCOTT SUMMER,ICEMAN/ROBERT BOBBY ,WOLVERINE/LOGAN ,ANGEL/WARREN KENNETH,MOON WOLF/,STONE, MARGARET,AGEE, REBECCA,PSYLOCKE/ELISABETH B,MEANY,BRICKMAN, SEN. MILES,GUARDIAN V/JAMES MAC,MARROW/SARAH ,MURMUR II/ARLETTE TR,CANNONBALL II/SAM GU,ROGUE /,FLEX/ADRIAN CORBO,JOSEPH,JUBILEE/JUBILATION L,MARVEL GIRL/JEAN GRE,SAURON/DR. KARL LYKO"
AGENT-X/,SNARE
AHAB/RORY CAMPBELL,"DEATHBIRD [SHI'AR],D'SPAYRE,MAGNETO/MAGNUS/ERIC ,SHADOWCAT/KATHERINE ,MERRYWEATHER, IRENE,BISHOP /,PYRO/ALLERDYCE JOHNN,CYCLOPS/SCOTT SUMMER,BLOB/FRED J. DUKES,SPIRAL,THING/BENJAMIN J. GR,WOLVERINE/LOGAN ,MEGGAN,SUNFIRE/SHIRO YOSHID,RICHARDS, FRANKLIN 2,MACTAGGERT, MOIRA KI,GREY, DR. JOHN,MARROW/SARAH ,BLAQUESMITH,LIVING MONOLITH/AHME,CANNONBALL II/SAM GU,CAPTAIN BRITAIN/BRIA,SUNSPOT/ROBERTO DACO,THOMAS, COMMANDER DA,GREY, ELAINE,MR. FANTASTIC/REED R,WARLOCK III,STORM/ORORO MUNROE S,SUMMERS, NATHAN CHRI,SHADOWCAT 2013,SHIP,GAMBIT/REMY LEBEAU ,APOCALYPSE/EN SABAH ,ICEMAN/ROBERT BOBBY ,PHOENIX III/RACHEL S,FORGE,BANSHEE/SEAN CASSIDY,RICHARDS, FRANKLIN B,PHOENIX 2013,KRAMER, STACEY,COLOSSUS II/PETER RA,NIGHTCRAWLER/KURT WA,BOOMER/TABITHA SMITH,HUMAN TORCH/JOHNNY S,POLARIS/LORNA DANE,CALIBAN/,ROGUE /,BEAST/HENRY &HANK& P,JUBILEE/JUBILATION L,MARVEL GIRL/JEAN GRE"
AHURA,"LLYRON,ATOR, GENERAL,GORGON [INHUMAN],CRYSTAL [INHUMAN],MASTON-DAR,THING/BENJAMIN J. GR,THERNON,SAPPHIRAS,EELAK,MAXIMUS [INHUMAN],MARGOYLE,MR. FANTASTIC/REED R,GLABOO,KARNAK [INHUMAN],ANT-MAN II/SCOTT HAR,LYJA LAZERFIST [SKRU,VASHTI,BLACK BOLT/BLACKANTO,MEDUSA/MEDUSALITH AM,TOL-NOK,HUNTARA/MARY ELIZABE,ROOTAR,SUB-MARINER/NAMOR MA,THOR/DR. DONALD BLAK,INVISIBLE WOMAN/SUE ,PULSSUS,TRITON,KRISTOFF/KRISTOFF VE,ZARRKO, ARTHUR,LE FEY, MORGAN,CYNAS,PSI-LORD/FRANKLIN BE,HUMAN TORCH/JOHNNY S,DR. DOOM/VICTOR VON ,LOCKJAW [INHUMAN],RICHARDS, NATHANIEL,LUNA/LUNA MAXIMOFF [,ARCADIUS,SILVER SURFER/NORRIN"
AIR WALKER/ARLO SAMU,"BLACK GOLIATH/DR. WI,JACKSON, CELIA"
ALFY,"MAGNETO/MAGNUS/ERIC ,WONG,SHADOWCAT/KATHERINE ,CYPHER/DOUG RAMSEY,MAGIK/ILLYANA RASPUT,MAJOR DOMO,DARLA,GREENSONG,SPIRAL,BUTCH,WOLVERINE/LOGAN ,MIRAGE II/DANIELLE M,PSYLOCKE/ELISABETH B,COLOSSUS II/PETER RA,WOLFSBANE/RAHNE SINC,NIGHTCRAWLER/KURT WA,LONGSHOT,MAGOG II,CANNONBALL II/SAM GU,LOCKHEED,ROGUE /,KENT, CLARK,SUNSPOT/ROBERTO DACO,LANE, LOIS,MOJO,KARMA/XI'AN COY MANH,GOG III"
"ALOUETTE, GENARD","FONTANELLE/GLORIA DA,NEW SUN,DEADPOOL/JACK/WADE W,QUESTA,LEBEAU, MERCY,LAPIN, EMIL,RAX,GRIS-GRIS,FIREBALLS/JACK FARLE,LEBEAU, JEAN-LUC,MARCEAUX, THEOREN,POITIER, CLAUDE,FIFOLET,LEBEAU, JACQUE,BATROC/GEORGES BATRO,GAMBIT/REMY LEBEAU ,MINISTER TOME,SINGER,BULLSEYE II/BENJAMIN,ISHIHARA, ZOE,DOMINA,CONSTRICTOR/FRANK PA,BOUDREAUX, MARIUS,X-CUTIONER/CARL DENT,MINSTER HOARD,COURIER/JACOB GAVIN,BOUDREAUX, BELLA DON,TANTE MATTIE"
AMPHIBIUS,"KA-ZAR/KEVIN PLUNDER,DEATHBIRD [SHI'AR],WOLVERINE/LOGAN ,HAVOK/ALEX SUMMERS ,SOUTHERN, CANDY,MARTIN, ASHLEY,SNOW, TANDY,STRONG GUY/GUIDO CAR,NHU'ABDAR,PLUNDER, ADAM KYLE M,MALICE IV,SAURON/DR. KARL LYKO,FURY, COL. NICHOLAS ,SPIDER-MAN/PETER PAR,DAZZLER II/ALLISON B,TIMBERIUS II,VISION ,ROBERTSON, JOE,FORGE,ANGEL/WARREN KENNETH,LINAK,AVIA,EQUILIBRIUS,LUPO,KRUEGER,WHITEOUT,TONGAH,NIGHTCRAWLER/KURT WA,BRAINCHILD,ROGUE /,POLARIS/LORNA DANE,SHANNA/SHANNA O'HARA,PROFESSOR X/CHARLES ,MAGNETO/MAGNUS/ERIC ,HOGUN [ASGARDIAN],CYCLOPS/SCOTT SUMMER,GAROKK,GRANT, GLORIA GLORY,HILDEGARDE [ASGARDIA,CHENEY, LILA,SAKAA,GATEWAY,STORM/ORORO MUNROE S,GAZA,MASTERMIND/JASON WYN,JAMESON, J. JONAH,GAMBIT/REMY LEBEAU ,ANDERSSEN, TANYA,SUB-MARINER/NAMOR MA,ICEMAN/ROBERT BOBBY ,BANSHEE/SEAN CASSIDY,BONEBREAKER/,BARBARUS,ZALADANE,PSYLOCKE/ELISABETH B,COLOSSUS II/PETER RA,ZABU,BUSH, GEORGE,BEAST/HENRY &HANK& P,JUBILEE/JUBILATION L,SUMMERS, MADELYNE MA,MARVEL GIRL/JEAN GRE,HAWK,FANDRAL [ASGARDIAN],TILBY, TRISH/PATRICI"
ANARCHIST/TIKE ALICA,"U-GO GIRL/EDIE,THUNDERBIRD II/JAMES,BLOKE/MICKEY TORK,SAINT ANNA,VIVISECTOR/MYLES ALF,BOOMER/TABITHA SMITH,CANNONBALL II/SAM GU,ORPHAN II/GUY SMITH,PROFESSOR X/CHARLES ,PHAT/BILLY BOB REILL"
ANDWELLA,"ERISHKIGEL II/HOLLY ,MARVEL BOY VI,EON,CAPTAIN MARVEL II/MO,MAKKARI/MIKE KHARY/I,STYGIAN STARBENDER,KISMET/J'RIDIA STARD,THUNDERSTRIKE/ERIC K,BALLANTINE, KAYLA,QUASAR III/WENDELL V"
ANGEL IV,"URICH, DORIS,SPIDER-MAN/PETER PAR,LEWIS, SHIRLEY WASHI,ROSE IV/JACOB JAKE C,CICERO, CAESAR BIG C,FORTUNATO,SPIDER-MAN CLONE/BEN,SILVERMANE/SILVIO MA,WATSON-PARKER, MARY ,HAMMERHEAD,SLUG/ULYSSES X. LUGM,LIZARD/DR. CURTIS CO,PUNISHER II/FRANK CA,DAREDEVIL/MATT MURDO,THORPE, GAVIN,GREEN GOBLIN/NORMAN ,URICH, BEN,FORTUNATO, GIACOMO J,STACY, ARTHUR,KINGPIN/WILSON FISK"
ANNIHILUS,"SYPHONN,VIZIER,IGOR,HELLSCOUT/KENNETH TE,CAPTAIN MARVEL II/MO,BRUTE/REED RICHARDS ,HEIMDALL [ASGARDIAN],THING/BENJAMIN J. GR,JARVIS, EDWIN ,RED GHOST/IVAN KRAGO,JONES, RICHARD MILHO,SCARLET WITCH/WANDA ,QUICKSILVER/PIETRO M,WIZARD/BENTLEY WITTM,BLASTAAR,JANUS,CAPTAIN MARVEL/CAPTA,STARFOX/EROS,ANELLE,PIP/PRINCE GOFERN,MONGOOSE,SPIDER-MAN/PETER PAR,UATU,BLOODAXE/JACKIE LUKU,MEDUSA/MEDUSALITH AM,VISION ,ANT-MAN/DR. HENRY J.,WINGFOOT, WYATT,INVISIBLE WOMAN/SUE ,RICHARDS, FRANKLIN B,MS. MARVEL II/SHARON,MASTER ORDER,IMPOSSIBLE MAN,BALDER [ASGARDIAN],PEATOR,NOVA II/FRANKIE RAYE,TRAPSTER/PETER PETRU,CAPTAIN MARVEL III/G,STEELE, BOBBY,HARKNESS, AGATHA,HUMAN TORCH/JOHNNY S,RONAN THE ACCUSER [K,MASTERS, ALICIA REIS,EPOCH,SIF,MASTERSON, KEVIN,HOGUN [ASGARDIAN],LOKI [ASGARDIAN],GAMORA,CRYSTAL [INHUMAN],THUNDERSTRIKE/ERIC K,WASP/JANET VAN DYNE ,ODIN [ASGARDIAN],IRON MAN/TONY STARK ,AUSTIN, SUSAN,EBONY,CLARISSA,HULK/DR. ROBERT BRUC,MR. FANTASTIC/REED R,SUPER-ADAPTOID/ALESS,CAPTAIN AMERICA,THUNDRA,MIKHLO,FIRELORD/PYREUS KRIL,JAMESON, J. JONAH,THOR/DR. DONALD BLAK,DR. STRANGE/STEPHEN ,SENTRY 459,STEELE, MARCY MASTER,VOLSTAGG,DRAX/ARTHUR DOUGLAS,DAREDEVIL/MATT MURDO,WARLOCK II/ADAM WARL,MENTOR/ALARS [ETERNA,HAWK,SUPREME INTELLIGENCE,SHE-HULK/JENNIFER WA"
